-2409761.22935779,-4478100.49853961,3838761.51830371
-2409756.1647439,-4478103.22391249,3838761.51830371
-2409751.10012693,-4478105.94927964,3838761.51830371
-2409746.03550688,-4478108.67464107,3838761.51830371
-2409740.97088374,-4478111.39999676,3838761.51830371
-2409735.90625753,-4478114.12534673,3838761.51830371
-2409730.84162823,-4478116.85069097,3838761.51830371
-2409725.77699585,-4478119.57602948,3838761.51830371
-2409720.71236038,-4478122.30136226,3838761.51830371
-2409715.64772184,-4478125.02668932,3838761.51830371
-2409710.58308021,-4478127.75201065,3838761.51830371
-2409705.5184355,-4478130.47732625,3838761.51830371
-2409700.45378771,-4478133.20263612,3838761.51830371
-2409695.38913683,-4478135.92794026,3838761.51830371
-2409690.32448287,-4478138.65323868,3838761.51830371
-2409685.25982584,-4478141.37853136,3838761.51830371
-2409680.19516572,-4478144.10381832,3838761.51830371
-2409675.13050251,-4478146.82909955,3838761.51830371
-2409670.06583622,-4478149.55437506,3838761.51830371
-2409665.00116686,-4478152.27964483,3838761.51830371
-2409659.93649441,-4478155.00490888,3838761.51830371
-2409654.86400301,-4478157.73437284,3838761.51830371
-2409599.15236868,-4478187.71183621,3838761.51830371
-2409594.08765616,-4478190.43702578,3838761.51830371
-2409589.02294055,-4478193.16220963,3838761.51830371
-2409583.95822187,-4478195.88738775,3838761.51830371
-2409578.8935001,-4478198.61256014,3838761.51830371
-2409573.82877524,-4478201.3377268,3838761.51830371
-2409553.56984502,-4478212.23833617,3838761.51830371
-2409533.31086548,-4478223.13885388,3838761.51830371
-2409528.24611289,-4478225.86396899,3838761.51830371
-2409523.18135721,-4478228.58907838,3838761.51830371
-2409518.11659846,-4478231.31418203,3838761.51830371
-2409513.05183663,-4478234.03927995,3838761.51830371
-2409507.98707171,-4478236.76437215,3838761.51830371
-2409487.72798121,-4478247.66468365,3838761.51830371
-2409482.66320089,-4478250.38974721,3838761.51830371
-2409477.59841747,-4478253.11480504,3838761.51830371
-2409472.53363098,-4478255.83985714,3838761.51830371
-2409467.46884141,-4478258.56490351,3838761.51830371
-2409462.40404875,-4478261.28994416,3838761.51830371
-2409457.33925302,-4478264.01497907,3838761.51830371
-2409452.26663814,-4478266.74421355,3838761.51830371
-2409447.20183624,-4478269.469237,3838761.51830371
-2409442.13703125,-4478272.19425472,3838761.51830371
-2409437.07222318,-4478274.91926671,3838761.51830371
-2409432.00741203,-4478277.64427298,3838761.51830371
-2409426.9425978,-4478280.36927351,3838761.51830371
-2409421.87778048,-4478283.09426832,3838761.51830371
-2409416.81296008,-4478285.8192574,3838761.51830371
-2409411.7481366,-4478288.54424076,3838761.51830371
-2409584.01146304,-4478189.91738017,3838768.40293336
-2409581.52915756,-4478185.30403808,3838775.29639376
-2409579.04684761,-4478180.69068767,3838782.18984711
-2409576.56453319,-4478176.07732894,3838789.08329342
-2409574.08539674,-4478171.46987645,3838795.96789495
-2409571.60307336,-4478166.85650108,3838802.86132719
-2409569.1207455,-4478162.24311738,3838809.75475239
-2409566.64159563,-4478157.63563996,3838816.63933284
-2409564.15925882,-4478153.02223962,3838823.53274396
-2409561.67691753,-4478148.40883096,3838830.42614805
