u,v
-102.571,170.766
104.226,-173.52
-104.226,173.52
105.88,-176.274
-105.88,176.274
107.535,-179.028
-107.535,179.028
109.189,-181.782
-109.189,181.782
110.844,-184.536
-110.844,184.536
112.498,-187.29
-112.498,187.29
60.4292,-85.5539
-60.4292,85.5539
65.4466,-78.8305
-65.4466,78.8305
70.464,-72.1072
-70.464,72.1072
75.4814,-65.3839
-75.4814,65.3839
80.4924,-58.6691
-80.4924,58.6691
85.5098,-51.9458
-85.5098,51.9458
90.5272,-45.2225
-90.5272,45.2225
95.5382,-38.5078
-95.5382,38.5078
100.556,-31.7845
-100.556,31.7845
105.573,-25.0612
-105.573,25.0612
110.584,-18.3465
-110.584,18.3465
115.602,-11.6232
-115.602,11.6232
120.619,-4.89989
-120.619,4.89989
125.63,1.81478
-125.63,-1.81478
130.648,8.53807
-130.648,-8.53807
135.665,15.2613
-135.665,-15.2613
140.676,21.976
-140.676,-21.976
145.694,28.6993
-145.694,-28.6993
150.711,35.4225
-150.711,-35.4225
155.722,42.1372
-155.722,-42.1372
160.74,48.8604
-160.74,-48.8604
165.758,55.5837
-165.758,-55.5837
170.769,62.2983
-170.769,-62.2983
175.786,69.0216
-175.786,-69.0216
180.804,75.7448
-180.804,-75.7448
185.815,82.4594
-185.815,-82.4594
190.833,89.1826
-190.833,-89.1826
195.85,95.9059
-195.85,-95.9059
200.861,102.62
-200.861,-102.62
205.879,109.344
-205.879,-109.344
210.897,116.067
-210.897,-116.067
215.914,122.79
-215.914,-122.79
220.926,129.505
-220.926,-129.505
225.943,136.228
-225.943,-136.228
230.961,142.951
-230.961,-142.951
235.972,149.666
-235.972,-149.666
240.99,156.389
-240.99,-156.389
246.008,163.112
-246.008,-163.112
251.019,169.827
-251.019,-169.827
256.037,176.55
-256.037,-176.55
261.054,183.273
-261.054,-183.273
266.066,189.987
-266.066,-189.987
271.083,196.711
-271.083,-196.711
276.101,203.434
-276.101,-203.434
281.112,210.148
-281.112,-210.148
286.13,216.871
-286.13,-216.871
291.148,223.595
-291.148,-223.595
296.159,230.309
-296.159,-230.309
301.177,237.032
-301.177,-237.032
306.195,243.755
-306.195,-243.755
311.206,250.47
-311.206,-250.47
-91.6895,-467.135
91.6895,467.135
344.497,-209.42
-344.497,209.42
842.43,453.201
-842.43,-453.201
1100.47,802.259
-1100.47,-802.259
1199.14,936.986
-1199.14,-936.986
1292.34,1058.65
-1292.34,-1058.65
1221.6,1168.77
-1221.6,-1168.77
1106.28,1355.77
-1106.28,-1355.77
1048.46,1455.04
-1048.46,-1455.04
1000.83,1526.52
-1000.83,-1526.52
918.141,1670.48
-918.141,-1670.48
803.074,1865.75
-803.074,-1865.75
502.858,1407.58
-502.858,-1407.58
-352.773,212.829
352.773,-212.829
-401.281,312.476
401.281,-312.476
1.65411,-2.75417
-1.65411,2.75417
3.30822,-5.50835
-3.30822,5.50835
4.96234,-8.26252
-4.96234,8.26252
6.61646,-11.0167
-6.61646,11.0167
8.27059,-13.7709
-8.27059,13.7709
9.92473,-16.525
-9.92473,16.525
11.5789,-19.2792
-11.5789,19.2792
13.233,-22.0334
-13.233,22.0334
14.8872,-24.7875
-14.8872,24.7875
16.5413,-27.5417
-16.5413,27.5417
18.1955,-30.2959
-18.1955,30.2959
19.8497,-33.05
-19.8497,33.05
21.5039,-35.8042
-21.5039,35.8042
23.158,-38.5584
-23.158,38.5584
24.8122,-41.3125
-24.8122,41.3125
26.4664,-44.0667
-26.4664,44.0667
28.1206,-46.8208
-28.1206,46.8208
29.7749,-49.575
-29.7749,49.575
31.4316,-52.3334
-31.4316,52.3334
49.6284,-82.6291
-49.6284,82.6291
51.2827,-85.3832
-51.2827,85.3832
52.937,-88.1374
-52.937,88.1374
54.5913,-90.8915
-54.5913,90.8915
56.2456,-93.6457
-56.2456,93.6457
57.9,-96.3998
-57.9,96.3998
64.5173,-107.416
-64.5173,107.416
71.1347,-118.433
-71.1347,118.433
72.7891,-121.187
-72.7891,121.187
74.4435,-123.941
-74.4435,123.941
76.0979,-126.695
-76.0979,126.695
77.7523,-129.449
-77.7523,129.449
79.4067,-132.204
-79.4067,132.204
86.0243,-143.22
-86.0243,143.22
87.6787,-145.974
-87.6787,145.974
89.3332,-148.728
-89.3332,148.728
90.9876,-151.482
-90.9876,151.482
92.6421,-154.237
-92.6421,154.237
94.2965,-156.991
-94.2965,156.991
95.951,-159.745
-95.951,159.745
97.608,-162.503
-97.608,162.503
99.2625,-165.257
-99.2625,165.257
100.917,-168.011
-100.917,168.011
102.571,-170.766
-102.571,170.766
104.226,-173.52
-104.226,173.52
105.88,-176.274
-105.88,176.274
107.535,-179.028
-107.535,179.028
109.189,-181.782
-109.189,181.782
110.844,-184.536
-110.844,184.536
58.7751,-82.7997
-58.7751,82.7997
